Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
330 Las Colinas Boulevard Unit 326,Irving,TX,75039,Condo,Active,,9/10/2023 7:04:00 PM,264000,,,1,1,905,3.217,2001,71,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-326-Irving-TX-75039-384306835,20428328,N,32.86558,-96.93816
2520 Corbeau Drive,Irving,TX,75038,Townhouse,Active,,9/9/2023 10:34:00 PM,355000,,,2,3,1412,0.049,2001,72,,,https://www.xome.com/homes-for-sale/2520-Corbeau-Drive-Irving-TX-75038-384298941,20428124,N,32.86584,-96.98151
1114 Britain Road,Irving,TX,75060,Single Family,Active,,9/8/2023 8:50:00 PM,374900,,,4,2,1600,0.1916,1950,73,,,https://www.xome.com/homes-for-sale/1114-Britain-Road-Irving-TX-75060-384281495,20419419,N,32.80347,-96.94215
4539 N O Connor Road Unit 1235,Irving,TX,75062,Condo,Active,,9/8/2023 12:36:00 PM,216790,,,2,2,1167,17.153,1975,73,,,https://www.xome.com/homes-for-sale/4539-N-O-Connor-Road-Unit-1235-Irving-TX-75062-384265205,20419341,N,32.86056,-96.95174
529 Ranch Trail Unit 151,Irving,TX,75063,Townhouse,Active,,9/7/2023 2:14:00 PM,285000,,,2,2,1302,8.326,1985,74,,,https://www.xome.com/homes-for-sale/529-Ranch-Trail-Unit-151-Irving-TX-75063-384219102,20426409,N,32.9284,-96.95325
570 Rockingham Drive,Irving,TX,75063,Townhouse,Active,,9/7/2023 10:52:00 AM,485000,,,3,3,2004,0.061,2006,75,,,https://www.xome.com/homes-for-sale/570-Rockingham-Drive-Irving-TX-75063-384209171,20423997,N,32.91771,-96.95329
3830 Twin Falls Street,Irving,TX,75062,Land,Active,,9/7/2023 7:19:00 AM,200000,,,,,,0.159,,75,,,https://www.xome.com/landlots-for-sale/3830-Twin-Falls-Street-Irving-TX-75062-384199501,20419965,N,32.85463,-97.00029
1422 Glenwick Lane,Irving,TX,75060,Single Family,Active,,9/7/2023 6:19:00 AM,370000,,,3,2,1599,0.227,1964,75,,,https://www.xome.com/homes-for-sale/1422-Glenwick-Lane-Irving-TX-75060-384197510,20397277,N,32.79766,-96.97353
1927 Stamp Road,Irving,TX,75062,Single Family,Active,,9/6/2023 3:18:00 PM,899345,,,5,4,3827,0.133,2023,75,,,https://www.xome.com/homes-for-sale/1927-Stamp-Road-Irving-TX-75062-384182626,20425520,N,32.83929,-96.91847
2411 Northlake Court,Irving,TX,75038,Townhouse,Active,,9/5/2023 11:11:00 PM,270000,,,2,3,1176,0.076,1983,76,,,https://www.xome.com/homes-for-sale/2411-Northlake-Court-Irving-TX-75038-384155990,20424155,N,32.86536,-96.98009
2813 Linden Lea,Irving,TX,75061,Single Family,Active,,9/5/2023 5:23:00 PM,365000,,,4,3,2535,0.201,1962,76,,,https://www.xome.com/homes-for-sale/2813-Linden-Lea-Irving-TX-75061-384135508,20424466,N,32.81789,-96.9837
130 Santa Rosa Way,Irving,TX,75062,Single Family,Active,,9/5/2023 11:20:00 AM,850000,,,4,5,3845,0.215,2014,77,,,https://www.xome.com/homes-for-sale/130-Santa-Rosa-Way-Irving-TX-75062-384123195,20423221,N,32.84808,-96.9424
1210 Croydon Street,Irving,TX,75062,Single Family,Active,,9/5/2023 11:20:00 AM,345000,,,4,2,1990,0.192,1963,77,,,https://www.xome.com/homes-for-sale/1210-Croydon-Street-Irving-TX-75062-384115148,20397372,N,32.85422,-96.96209
1204 Holly Street,Irving,TX,75061,Land,Active,,9/3/2023 8:40:00 PM,279900,,,,,,0.2825,,78,,,https://www.xome.com/landlots-for-sale/1204-Holly-Street-Irving-TX-75061-384100760,20422194,N,32.82568,-96.93514
1121 Colony Drive,Irving,TX,75061,Single Family,Active,,9/2/2023 2:05:00 AM,525999,,,3,4,2685,0.1954,1963,80,,,https://www.xome.com/homes-for-sale/1121-Colony-Drive-Irving-TX-75061-384058234,20418851,N,32.83256,-96.96068
2018 Cordova Bend,Irving,TX,75060,Single Family,Active,,9/1/2023 5:38:00 AM,359000,,,4,2,1953,0.268,1963,81,,,https://www.xome.com/homes-for-sale/2018-Cordova-Bend-Irving-TX-75060-384042674,20417505,N,32.79691,-96.97159
