Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1113 Manhassett Court,Fort Worth,TX,76140,Single Family,NEW LISTING,,12/14/2023 7:26:00 AM,269000,,,3,2,1647,0.14,2006,3,,,https://www.xome.com/homes-for-sale/1113-Manhassett-Court-Fort-Worth-TX-76140-387339359,20494818,N,32.60652,-97.3
3728 Boxwood Drive,Grand Prairie,TX,75052,Single Family,NEW LISTING,,12/14/2023 7:26:00 AM,585000,,,5,4,3698,0.218,2004,3,,,https://www.xome.com/homes-for-sale/3728-Boxwood-Drive-Grand-Prairie-TX-75052-387339354,20491892,N,32.68308,-96.99883
928 Red Oak Trail,Cedar Hill,TX,75104,Single Family,NEW LISTING,,12/14/2023 7:11:00 AM,345000,,,4,3,2469,0.158,2002,3,,,https://www.xome.com/homes-for-sale/928-Red-Oak-Trail-Cedar-Hill-TX-75104-387339202,20492496,N,32.57196,-96.95619
4513 N Ottawa Road,Dallas,TX,75212,Single Family,NEW LISTING,,12/14/2023 7:11:00 AM,339900,,,4,2,1764,0.151,2019,3,,,https://www.xome.com/homes-for-sale/4513-N-Ottawa-Road-Dallas-TX-75212-387339193,20491027,N,32.79232,-96.89434
1209 Lansdowne Drive,Arlington,TX,76012,Single Family,NEW LISTING,,12/14/2023 7:11:00 AM,325000,,,3,2,1754,0.23,1975,3,,,https://www.xome.com/homes-for-sale/1209-Lansdowne-Drive-Arlington-TX-76012-387339192,20489287,N,32.77565,-97.12418
5332 Rutland Avenue,Fort Worth,TX,76133,Single Family,NEW LISTING,,12/14/2023 7:11:00 AM,270000,,,2,2,1580,0.0363,1965,3,,,https://www.xome.com/homes-for-sale/5332-Rutland-Avenue-Fort-Worth-TX-76133-387339186,20494336,N,32.66579,-97.36099
809 Whitney Street,Cedar Hill,TX,75104,Single Family,NEW LISTING,,12/14/2023 6:56:00 AM,290000,,,3,2,1416,0.127,1985,3,,,https://www.xome.com/homes-for-sale/809-Whitney-Street-Cedar-Hill-TX-75104-387339025,20494809,N,32.58672,-96.93098
1301 38th Street,Fort Worth,TX,76106,Single Family,NEW LISTING,,12/14/2023 6:56:00 AM,265000,,,4,2,1446,0.137,1954,3,,,https://www.xome.com/homes-for-sale/1301-38th-Street-Fort-Worth-TX-76106-387339017,20490400,N,32.81389,-97.33934
2425 Nottingham Place,Grand Prairie,TX,75050,Single Family,NEW LISTING,,12/14/2023 6:56:00 AM,375000,,,3,3,2263,0.256,1968,3,12/17/2023 2:00:00 PM,12/17/2023 4:00:00 PM,https://www.xome.com/homes-for-sale/2425-Nottingham-Place-Grand-Prairie-TX-75050-387339013,20490185,N,32.77568,-97.03863
12620 Panorama Drive,Fort Worth,TX,76028,Single Family,NEW LISTING,,12/14/2023 6:40:00 AM,315000,,,3,2,1789,0.129,2006,3,,,https://www.xome.com/homes-for-sale/12620-Panorama-Drive-Fort-Worth-TX-76028-387338875,20494797,N,32.57413,-97.32894
