Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1133 Missy Lane,Irving,TX,75060,Multi-Family,Active,,1/10/2024 2:05:00 AM,275000,,,3,3,1516,0.155,1972,20,,,https://www.xome.com/multifamily-for-sale/1133-Missy-Lane-Irving-TX-75060-388009721,20503601,N,32.8012,-96.93901
1113 Missy Lane,Irving,TX,75060,Multi-Family,Active,,1/10/2024 1:50:00 AM,240000,,,2,2,1246,0.085,1972,20,,,https://www.xome.com/multifamily-for-sale/1113-Missy-Lane-Irving-TX-75060-388009641,20503611,N,32.80162,-96.93903
210 Rolston Road Unit 8,Irving,TX,75060,Multi-Family,Active,,1/10/2024 1:50:00 AM,230000,,,2,2,1072,0.181,1983,20,,,https://www.xome.com/multifamily-for-sale/210-Rolston-Road-Unit-8-Irving-TX-75060-388009639,20503588,N,32.81353,-96.97269
605 San Juan Court,Irving,TX,75062,Single Family,Active,,1/9/2024 10:44:00 PM,850000,,,4,3,3218,0.3558,1978,20,,,https://www.xome.com/homes-for-sale/605-San-Juan-Court-Irving-TX-75062-388007573,20508754,N,32.85207,-96.936
409 Gilbert Road,Irving,TX,75061,Single Family,Active,,1/9/2024 10:42:00 PM,220000,,,3,1,1320,0.22,1952,20,,,https://www.xome.com/homes-for-sale/409-Gilbert-Road-Irving-TX-75061-388007489,20509010,N,32.81851,-97.00267
3410 Country Club Drive Unit 192,Irving,TX,75038,Condo,Active,,1/9/2024 10:42:00 PM,137000,,,1,1,760,2.634,1984,20,,,https://www.xome.com/homes-for-sale/3410-Country-Club-Drive-Unit-192-Irving-TX-75038-388007480,20504399,N,32.85951,-96.9934
4150 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/9/2024 9:06:00 PM,1029300,,,5,6,3441,0.092,2024,20,,,https://www.xome.com/homes-for-sale/4150-Khawlah-Nafal-Court-Irving-TX-75038-388006058,20509028,N,32.874,-96.9793
2726 Cartwright Street,Irving,TX,75062,Single Family,Active,,1/9/2024 1:26:00 PM,314900,,,3,2,1260,0.172,1961,20,,,https://www.xome.com/homes-for-sale/2726-Cartwright-Street-Irving-TX-75062-387994165,20497523,N,32.84715,-96.98316
1811 Etain Road,Irving,TX,75060,Single Family,Active,,1/9/2024 10:10:00 AM,660000,,,5,5,3750,0.198,2023,21,,,https://www.xome.com/homes-for-sale/1811-Etain-Road-Irving-TX-75060-387988642,20506618,N,32.79416,-96.98038
1014 Lucille Street,Irving,TX,75060,Single Family,Active,,1/8/2024 12:56:00 PM,359999,,,3,2,2326,0.205,1950,21,,,https://www.xome.com/homes-for-sale/1014-Lucille-Street-Irving-TX-75060-387965670,20506455,N,32.80425,-96.94011
4155 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/7/2024 8:52:00 PM,1028600,,,5,6,3441,0.092,2024,22,,,https://www.xome.com/homes-for-sale/4155-Khawlah-Nafal-Court-Irving-TX-75038-387953867,20507191,N,32.874,-96.9793
4142 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/5/2024 9:57:00 PM,1028300,,,5,6,3441,0.091,2024,24,,,https://www.xome.com/homes-for-sale/4142-Khawlah-Nafal-Court-Irving-TX-75038-387928407,20505553,N,32.874,-96.9793
4151 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/5/2024 9:57:00 PM,1037262,,,5,6,3441,0.092,2024,24,,,https://www.xome.com/homes-for-sale/4151-Khawlah-Nafal-Court-Irving-TX-75038-387928403,20505545,N,32.874,-96.9793
4146 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/5/2024 9:57:00 PM,924400,,,4,5,3144,0.091,2024,24,,,https://www.xome.com/homes-for-sale/4146-Khawlah-Nafal-Court-Irving-TX-75038-387928401,20505466,N,32.874,-96.9793
4029 Timberidge Drive,Irving,TX,75038,Single Family,Active,,1/5/2024 9:16:00 PM,505000,,,3,3,2416,0.219,1981,24,,,https://www.xome.com/homes-for-sale/4029-Timberidge-Drive-Irving-TX-75038-387927402,20505817,N,32.86394,-96.99939
1491 Chase Lane,Irving,TX,75063,Townhouse,Active,,1/5/2024 1:43:00 PM,475000,,,4,4,2241,0.048,2005,24,,,https://www.xome.com/homes-for-sale/1491-Chase-Lane-Irving-TX-75063-387913285,20494633,N,32.91544,-96.9643
4139 Khawlah Nafal Court,Irving,TX,75038,Single Family,Active,,1/5/2024 1:28:00 PM,999900,,,4,5,3135,0.093,2023,24,,,https://www.xome.com/homes-for-sale/4139-Khawlah-Nafal-Court-Irving-TX-75038-387912877,20504494,N,32.874,-96.9793
330 Las Colinas Boulevard Unit 904,Irving,TX,75039,Condo,Active,,1/4/2024 6:30:00 PM,513500,,,2,2,1711,3.217,2001,25,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-904-Irving-TX-75039-387888703,20502908,N,32.86558,-96.93816
